Kuupaev,temperatuur,niiskus,valgus,pNiiskus,taimeKorgus
2019-05-03 17:40:40,24.5,21.5,995,581,9
2019-05-03 18:10:45,24.1,21.6,552,580,9
2019-05-03 18:40:51,23.8,21.9,482,579,9
2019-05-03 19:10:57,23.3,22.1,438,595,9
2019-05-03 19:41:08,22.9,22.3,480,602,9
2019-05-03 20:11:19,22.6,22.2,185,602,9
2019-05-03 20:41:30,22.4,22,151,606,9
2019-05-03 21:11:41,22.2,22.3,38,607,9
2019-05-03 21:41:52,21.8,22,4,608,9
2019-05-03 22:12:03,21.5,22.3,1,626,10
2019-05-03 22:42:14,21.3,22.5,1,637,10
2019-05-03 23:12:25,21.1,22.6,1,640,10
2019-05-03 23:42:36,21,22.5,1,646,10
2019-05-04 00:12:47,20.9,22.7,1,654,9
2019-05-04 00:42:58,20.9,22.7,1,658,8
2019-05-04 01:13:09,20.8,22.3,1,666,7
2019-05-04 01:43:20,20.7,23.7,1,668,7
2019-05-04 02:13:31,20.6,22.4,1,666,7
2019-05-04 02:43:42,20.5,22.6,1,668,7
2019-05-04 03:13:53,20.5,22.7,1,666,9
2019-05-04 03:44:04,20.4,22.9,1,665,9
2019-05-04 04:14:15,20.4,22.8,1,674,7
2019-05-04 04:44:26,20.3,23.3,1,684,8
2019-05-04 05:14:37,20.2,23.9,20,678,12
2019-05-04 05:44:48,20.2,24.1,83,681,5
2019-05-04 06:14:59,20.2,24,166,687,17
2019-05-04 06:45:10,20.3,24.3,271,674,16
2019-05-04 07:15:21,20.3,24.6,394,678,6
2019-05-04 07:45:32,20.5,24.4,570,676,16
2019-05-04 08:15:43,20.8,24.4,778,681,16
2019-05-04 08:45:54,21.2,24.7,967,685,6
2019-05-04 09:16:05,21.7,24.8,1489,686,15
2019-05-04 09:46:16,21.9,23.7,2229,681,15
2019-05-04 10:16:27,22.8,25.8,2212,682,6
2019-05-04 10:46:38,23,23.2,1709,677,6
2019-05-04 11:16:49,23.4,24.2,1938,678,15
2019-05-04 11:47:00,23.7,23.9,1973,685,5
2019-05-04 12:17:11,23.6,23.7,524,682,5
2019-05-04 12:47:22,23.1,24.6,2758,689,6
2019-05-04 13:17:33,23,25.2,4180,682,5
2019-05-04 13:47:44,23.9,25.2,2298,689,5
2019-05-04 14:17:55,24.2,25.9,1211,692,-4
2019-05-04 14:48:06,24.4,26,977,685,5
2019-05-04 15:18:17,24,25.6,1236,685,7
2019-05-04 15:48:28,24.4,25.7,1352,684,7
2019-05-04 16:18:39,24.2,25.1,294,690,7
2019-05-04 16:48:50,23.6,26.3,907,692,7
2019-05-04 17:19:01,23.4,27.1,905,686,7
2019-05-04 17:49:12,23.2,27.4,481,686,7
2019-05-04 18:19:23,22.8,28.2,145,689,7
2019-05-04 18:49:33,22.3,28.9,221,685,15
2019-05-04 19:19:44,22,29.4,391,687,15
2019-05-04 19:49:55,21.9,29.5,154,693,17
2019-05-04 20:20:06,21.5,29.6,72,693,16
2019-05-04 20:50:17,21.4,29.7,54,696,16
2019-05-04 21:20:28,21.3,30.6,25,696,16
2019-05-04 21:50:39,21.2,30.4,3,693,7
2019-05-04 22:20:50,21.1,30.7,1,702,8
2019-05-04 22:51:01,20.9,31.5,1,694,8
2019-05-04 23:21:12,20.9,31.3,1,702,9
2019-05-04 23:51:24,20.9,31.8,1,702,9
2019-05-05 00:21:35,20.9,31.5,1,702,9
2019-05-05 00:51:46,20.8,31.5,1,697,9
2019-05-05 01:21:57,20.8,31.4,1,703,9
2019-05-05 01:52:08,20.7,31.4,1,696,9
2019-05-05 02:22:19,20.7,31.7,1,705,12
2019-05-05 02:52:30,20.6,32.7,1,705,14
2019-05-05 03:22:41,20.5,31.3,1,705,13
2019-05-05 03:52:52,20.5,31.2,1,705,7
2019-05-05 04:23:03,20.4,31.3,1,702,-3
2019-05-05 04:53:14,20.4,31.4,5,702,-3
2019-05-05 05:23:25,20.4,30.6,40,706,-2
2019-05-05 05:53:36,20.3,30.6,113,708,7
2019-05-05 06:23:47,20.3,30.6,184,709,16
2019-05-05 06:53:58,20.3,29.9,315,705,13
2019-05-05 07:24:09,20.5,30,460,709,16
2019-05-05 07:54:20,20.7,30.1,649,709,15
2019-05-05 08:24:31,20.9,29.4,837,705,14
2019-05-05 08:54:42,21.4,29.1,1007,709,14
2019-05-05 09:24:53,21.7,28.9,1211,710,13
2019-05-05 09:55:04,22.1,29.9,1356,706,14
2019-05-05 10:25:15,22.5,29.5,1475,706,13
2019-05-05 10:55:26,22.9,27,1611,711,9
2019-05-05 11:25:37,23.3,26.7,1213,711,9
2019-05-05 11:55:48,24,24.8,2054,710,9
2019-05-05 12:25:59,24.3,24.5,2062,706,9
2019-05-05 12:56:10,24.6,24.3,2384,706,9
2019-05-05 13:26:21,24.7,24.8,2403,708,9
2019-05-05 13:56:32,24.9,24.6,2215,702,10
2019-05-05 14:26:43,25,24.4,2575,709,8
2019-05-05 14:56:54,25.4,23.7,2140,709,8
2019-05-05 15:27:05,25.6,22.6,1532,708,8
2019-05-05 15:57:16,25.3,22.4,2673,703,9
2019-05-05 16:27:27,25.8,22,2536,702,12
2019-05-05 16:57:38,25.4,22.4,1515,708,12
2019-05-05 17:27:49,25.4,22.6,1492,704,13
2019-05-05 17:58:00,25.4,22.7,911,708,11
2019-05-05 18:28:11,25.1,22.5,1077,710,12
2019-05-05 18:58:22,24.8,22.4,367,711,13
2019-05-05 19:28:33,24.3,22.9,392,712,15
